alpha,audio_path,audio_relpath,backbone,emotion_a,emotion_b,expected_dominance,expected_relation,item_id,pair_id,pair_label,part,question,role,selection_note,source_page,source_relpath,source_section,source_url,strength1,strength2,system,target_emotion,used_for_part1a
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/01_anger_sadness_s1-2.00_s2-1.00.wav,emosteer_tts/part3_mixed/01_anger_sadness_s1-2.00_s2-1.00.wav,f5tts,anger,sadness,anger,,emosteer_part3_mixed_001,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/anger_sadness/0007_000209_hopped_5_strength1_2.00_strength2_1.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/anger_sadness/0007_000209_hopped_5_strength1_2.00_strength2_1.00.wav,2.00,1.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/02_anger_sadness_s1-2.00_s2-2.00.wav,emosteer_tts/part3_mixed/02_anger_sadness_s1-2.00_s2-2.00.wav,f5tts,anger,sadness,equal,,emosteer_part3_mixed_002,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/anger_sadness/0007_000209_hopped_5_strength1_2.00_strength2_2.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/anger_sadness/0007_000209_hopped_5_strength1_2.00_strength2_2.00.wav,2.00,2.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/03_anger_sadness_s1-2.00_s2-3.00.wav,emosteer_tts/part3_mixed/03_anger_sadness_s1-2.00_s2-3.00.wav,f5tts,anger,sadness,sadness,,emosteer_part3_mixed_003,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/anger_sadness/0007_000209_hopped_5_strength1_2.00_strength2_3.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/anger_sadness/0007_000209_hopped_5_strength1_2.00_strength2_3.00.wav,2.00,3.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/04_anger_disgust_s1-2.00_s2-1.00.wav,emosteer_tts/part3_mixed/04_anger_disgust_s1-2.00_s2-1.00.wav,f5tts,anger,disgust,anger,,emosteer_part3_mixed_004,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/anger_disgust/0009_000122_hopped_5_strength1_2.00_strength2_1.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/anger_disgust/0009_000122_hopped_5_strength1_2.00_strength2_1.00.wav,2.00,1.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/05_anger_disgust_s1-2.00_s2-2.00.wav,emosteer_tts/part3_mixed/05_anger_disgust_s1-2.00_s2-2.00.wav,f5tts,anger,disgust,equal,,emosteer_part3_mixed_005,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/anger_disgust/0009_000122_hopped_5_strength1_2.00_strength2_2.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/anger_disgust/0009_000122_hopped_5_strength1_2.00_strength2_2.00.wav,2.00,2.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/06_anger_disgust_s1-2.00_s2-3.00.wav,emosteer_tts/part3_mixed/06_anger_disgust_s1-2.00_s2-3.00.wav,f5tts,anger,disgust,disgust,,emosteer_part3_mixed_006,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/anger_disgust/0009_000122_hopped_5_strength1_2.00_strength2_3.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/anger_disgust/0009_000122_hopped_5_strength1_2.00_strength2_3.00.wav,2.00,3.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/07_fear_surprise_s1-2.00_s2-1.00.wav,emosteer_tts/part3_mixed/07_fear_surprise_s1-2.00_s2-1.00.wav,f5tts,fear,surprise,fear,,emosteer_part3_mixed_007,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/fear_surprise/0005_000305_hopped_5_strength1_2.00_strength2_1.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/fear_surprise/0005_000305_hopped_5_strength1_2.00_strength2_1.00.wav,2.00,1.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/08_fear_surprise_s1-2.00_s2-2.00.wav,emosteer_tts/part3_mixed/08_fear_surprise_s1-2.00_s2-2.00.wav,f5tts,fear,surprise,equal,,emosteer_part3_mixed_008,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/fear_surprise/0005_000305_hopped_5_strength1_2.00_strength2_2.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/fear_surprise/0005_000305_hopped_5_strength1_2.00_strength2_2.00.wav,2.00,2.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/09_fear_surprise_s1-2.00_s2-3.00.wav,emosteer_tts/part3_mixed/09_fear_surprise_s1-2.00_s2-3.00.wav,f5tts,fear,surprise,surprise,,emosteer_part3_mixed_009,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/fear_surprise/0005_000305_hopped_5_strength1_2.00_strength2_3.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/fear_surprise/0005_000305_hopped_5_strength1_2.00_strength2_3.00.wav,2.00,3.00,EmoSteer-TTS,,
,/data/junchuan/EmoSimplex/mos-survey/audios/emosteer_tts/part3_mixed/10_fear_surprise_s1-2.00_s2-2.00.wav,emosteer_tts/part3_mixed/10_fear_surprise_s1-2.00_s2-2.00.wav,f5tts,fear,surprise,equal,,emosteer_part3_mixed_010,,,part3_mixed,,,"multi-emotion steering with diversified dominance: strength1>strength2 => emotion_a, equal, strength2>strength1 => emotion_b",https://emosteer-tts-demo.pages.dev/,wavs/ours/multi_emo/fear_surprise/0020_000047_hopped_5_strength1_2.00_strength2_2.00.wav,Training-Free Multi-Emotion Steering,https://emosteer-tts-demo.pages.dev/wavs/ours/multi_emo/fear_surprise/0020_000047_hopped_5_strength1_2.00_strength2_2.00.wav,2.00,2.00,EmoSteer-TTS,,
